Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.33E-08,info,1.09E-06,1.80E-07,179.8,,0
,'100,100% (200/200),3.41E-08,info,1.21E-06,1.97E-07,196.9,,0
,'010,100% (200/200),3.35E-08,info,1.15E-06,1.87E-07,187.3,,0
,'110,100% (200/200),4.24E-08,info,1.40E-06,2.22E-07,222.4,,0
,'001,100% (200/200),3.68E-08,info,1.19E-06,1.96E-07,195.8,,0
,'101,100% (200/200),3.97E-08,info,1.46E-06,2.29E-07,228.5,,0
,'011,100% (200/200),3.74E-08,info,1.33E-06,2.08E-07,208.4,,0
,'111,100% (200/200),4.06E-08,info,1.35E-06,2.13E-07,213.2,,0
S2,,,,,,,,,
,'00000,100% (200/200),2.52E-08,info,8.33E-07,1.33E-07,133.3,,0
,'10000,100% (200/200),2.19E-08,info,8.40E-07,1.31E-07,131.2,,0
,'01000,100% (200/200),2.26E-08,info,8.47E-07,1.33E-07,132.9,,0
,'11000,100% (200/200),2.42E-08,info,9.10E-07,1.43E-07,142.7,,0
,'00100,100% (200/200),2.43E-08,info,8.38E-07,1.33E-07,132.8,,0
,'10100,100% (200/200),2.16E-08,info,8.47E-07,1.32E-07,132.3,,0
,'01100,100% (200/200),2.66E-08,info,8.87E-07,1.39E-07,138.8,,0
,'11100,100% (200/200),2.48E-08,info,9.43E-07,1.43E-07,142.6,,0
,'00010,100% (200/200),2.89E-08,info,8.98E-07,1.48E-07,148.3,,0
,'10010,100% (200/200),2.16E-08,info,7.78E-07,1.26E-07,126.1,,0
,'01010,100% (200/200),2.22E-08,info,7.85E-07,1.28E-07,127.8,,0
,'11010,100% (200/200),2.37E-08,info,8.38E-07,1.33E-07,133.3,,0
,'00110,100% (200/200),2.38E-08,info,7.76E-07,1.28E-07,127.7,,0
,'10110,100% (200/200),2.12E-08,info,7.85E-07,1.27E-07,127.2,,0
,'01110,100% (200/200),2.87E-08,info,1.02E-06,1.57E-07,157.1,,0
,'11110,100% (200/200),2.45E-08,info,9.50E-07,1.44E-07,143.7,,0
,'00001,100% (200/200),2.68E-08,info,8.96E-07,1.43E-07,143.1,,0
,'10001,100% (200/200),2.19E-08,info,8.39E-07,1.31E-07,131.2,,0
,'01001,100% (200/200),2.26E-08,info,8.47E-07,1.33E-07,132.9,,0
,'11001,100% (200/200),2.42E-08,info,9.10E-07,1.43E-07,142.7,,0
,'00101,100% (200/200),2.43E-08,info,8.37E-07,1.33E-07,132.8,,0
,'10101,100% (200/200),2.16E-08,info,8.47E-07,1.32E-07,132.3,,0
,'01101,100% (200/200),2.72E-08,info,9.54E-07,1.47E-07,147.3,,0
,'11101,100% (200/200),2.45E-08,info,9.50E-07,1.44E-07,143.7,,0
,'00011,100% (200/200),3.01E-08,info,8.88E-07,1.49E-07,148.5,,0
,'10011,100% (200/200),2.21E-08,info,8.28E-07,1.29E-07,129.1,,0
,'01011,100% (200/200),2.26E-08,info,8.35E-07,1.31E-07,130.6,,0
,'11011,100% (200/200),2.40E-08,info,8.88E-07,1.36E-07,135.9,,0
,'00111,100% (200/200),2.41E-08,info,8.25E-07,1.30E-07,130.3,,0
,'10111,100% (200/200),2.14E-08,info,8.35E-07,1.30E-07,129.8,,0
,'01111,100% (200/200),2.78E-08,info,1.02E-06,1.56E-07,155.8,,0
,'11111,100% (200/200),2.42E-08,info,9.57E-07,1.45E-07,144.8,,0
S3,,,,,,,,,
,'000,100% (200/200),2.26E-08,info,6.76E-07,1.15E-07,114.6,,0
,'100,100% (200/200),2.21E-08,info,7.99E-07,1.29E-07,128.7,,0
,'010,100% (200/200),2.18E-08,info,7.45E-07,1.22E-07,121.5,,0
,'110,100% (200/200),2.18E-08,info,8.07E-07,1.30E-07,129.9,,0
,'001,100% (200/200),2.03E-08,info,7.78E-07,1.23E-07,123.4,,0
,'101,100% (200/200),1.91E-08,info,7.26E-07,1.16E-07,116.1,,0
,'011,100% (200/200),2.50E-08,info,7.96E-07,1.29E-07,129.3,,0
,'111,100% (200/200),1.98E-08,info,7.41E-07,1.18E-07,117.9,,0
