Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.45E-08,info,1.10E-06,1.84E-07,184.1,,0
,'100,100% (200/200),3.53E-08,info,1.23E-06,2.01E-07,201.3,,0
,'010,100% (200/200),3.47E-08,info,1.16E-06,1.92E-07,191.7,,0
,'110,100% (200/200),4.36E-08,info,1.41E-06,2.27E-07,226.8,,0
,'001,100% (200/200),3.79E-08,info,1.20E-06,2.00E-07,200.2,,0
,'101,100% (200/200),4.09E-08,info,1.48E-06,2.33E-07,232.9,,0
,'011,100% (200/200),3.86E-08,info,1.35E-06,2.13E-07,212.8,,0
,'111,100% (200/200),4.18E-08,info,1.37E-06,2.18E-07,217.6,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.64E-08,info,8.47E-07,1.38E-07,137.8,,0
,'10000,100% (200/200),2.31E-08,info,8.54E-07,1.36E-07,135.6,,0
,'01000,100% (200/200),2.38E-08,info,8.61E-07,1.37E-07,137.4,,0
,'11000,100% (200/200),2.53E-08,info,9.24E-07,1.47E-07,147.1,,0
,'00100,100% (200/200),2.54E-08,info,8.52E-07,1.37E-07,137.3,,0
,'10100,100% (200/200),2.28E-08,info,8.61E-07,1.37E-07,136.7,,0
,'01100,100% (200/200),2.79E-08,info,9.01E-07,1.43E-07,143.2,,0
,'11100,100% (200/200),2.60E-08,info,9.57E-07,1.47E-07,147,,0
,'00010,100% (200/200),3.00E-08,info,9.12E-07,1.53E-07,152.7,,0
,'10010,100% (200/200),2.27E-08,info,7.92E-07,1.31E-07,130.5,,0
,'01010,100% (200/200),2.34E-08,info,8.00E-07,1.32E-07,132.2,,0
,'11010,100% (200/200),2.48E-08,info,8.53E-07,1.38E-07,137.7,,0
,'00110,100% (200/200),2.50E-08,info,7.90E-07,1.32E-07,132.1,,0
,'10110,100% (200/200),2.23E-08,info,7.99E-07,1.32E-07,131.6,,0
,'01110,100% (200/200),2.99E-08,info,1.03E-06,1.62E-07,161.5,,0
,'11110,100% (200/200),2.57E-08,info,9.65E-07,1.48E-07,148.1,,0
,'00001,100% (200/200),2.79E-08,info,9.10E-07,1.48E-07,147.5,,0
,'10001,100% (200/200),2.31E-08,info,8.54E-07,1.36E-07,135.6,,0
,'01001,100% (200/200),2.38E-08,info,8.61E-07,1.37E-07,137.4,,0
,'11001,100% (200/200),2.53E-08,info,9.24E-07,1.47E-07,147.1,,0
,'00101,100% (200/200),2.54E-08,info,8.52E-07,1.37E-07,137.3,,0
,'10101,100% (200/200),2.28E-08,info,8.61E-07,1.37E-07,136.7,,0
,'01101,100% (200/200),2.84E-08,info,9.68E-07,1.52E-07,151.7,,0
,'11101,100% (200/200),2.57E-08,info,9.65E-07,1.48E-07,148.1,,0
,'00011,100% (200/200),3.12E-08,info,9.02E-07,1.49E-07,149.1,,0
,'10011,100% (200/200),2.33E-08,info,8.42E-07,1.34E-07,133.5,,0
,'01011,100% (200/200),2.38E-08,info,8.49E-07,1.35E-07,135,,0
,'11011,100% (200/200),2.51E-08,info,9.02E-07,1.40E-07,140.3,,0
,'00111,100% (200/200),2.52E-08,info,8.40E-07,1.35E-07,134.7,,0
,'10111,100% (200/200),2.26E-08,info,8.49E-07,1.34E-07,134.2,,0
,'01111,100% (200/200),2.89E-08,info,1.04E-06,1.60E-07,160.2,,0
,'11111,100% (200/200),2.54E-08,info,9.72E-07,1.49E-07,149.2,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.23E-08,info,6.91E-07,1.17E-07,117.3,,0
,'100,100% (200/200),2.33E-08,info,8.14E-07,1.33E-07,133.2,,0
,'010,100% (200/200),2.30E-08,info,7.59E-07,1.25E-07,125.2,,0
,'110,100% (200/200),2.30E-08,info,8.21E-07,1.34E-07,134.3,,0
,'001,100% (200/200),2.15E-08,info,7.92E-07,1.27E-07,127.2,,0
,'101,100% (200/200),2.03E-08,info,7.40E-07,1.21E-07,120.5,,0
,'011,100% (200/200),2.61E-08,info,8.11E-07,1.34E-07,133.7,,0
,'111,100% (200/200),2.10E-08,info,7.56E-07,1.22E-07,122.3,,0
